word,frequency,scaled_frequency
class,191087771,0.1557695230306
still,190433487,0.1552361686140
money,190205072,0.1550499709552
every,189325890,0.1543332858419
visit,187062316,0.1524880822453
tools,185555874,0.1512600719410
reply,184777992,0.1506259638163
value,182061247,0.1484113476186
press,179652730,0.1464479904538
learn,179428286,0.1462650298454
print,178250872,0.1453052341650
stock,176295589,0.1437113409572
point,175527859,0.1430855084652
sales,173244220,0.1412239484295
large,165863763,0.1352076018018
table,165341452,0.1347818281643
start,161913408,0.1319873804819
model,161205740,0.1314105088891
human,160573748,0.1308953263011
movie,158421100,0.1291405465449
march,158281269,0.1290265601392
yahoo,155733641,0.1269498034931
going,155284081,0.1265833344804
study,152978354,0.1247037689114
staff,151553180,0.1235420060573
again,150781416,0.1229128851589
april,149976767,0.1222569573082
never,149556758,0.1219145774622
users,149320234,0.1217217695684
topic,149001702,0.1214621109965
below,145701629,0.1187719817722
party,144707500,0.1179615950094
login,144200144,0.1175480122787
legal,142048771,0.1157942718676
above,141894620,0.1156686121898
quote,139242226,0.1135064531667
story,138433809,0.1128474537454
rates,137089538,0.1117516408035
young,136341684,0.1111420106830
field,135289140,0.1102840056103
paper,134939426,0.1099989283251
girls,132325396,0.1078680425853
night,130531484,0.1064056946017
texas,129399241,0.1054827210847
poker,129054826,0.1052019633994
issue,128427156,0.1046903039875
range,128314924,0.1045988155317
court,127719981,0.1041138342748
audio,127014703,0.1035389109446
light,126699632,0.1032820736853
write,126645151,0.1032376622647
offer,126228968,0.1028984012692
given,125542966,0.1023391912069
files,125524478,0.1023241202951
event,125515260,0.1023166060337
china,124472054,0.1014662130431
needs,123595776,0.1007518951912
might,123196001,0.1004260095485
month,123027963,0.1002890295682
major,122592252,0.0999338498814
areas,121986327,0.0994399163986
space,121505269,0.0990477710781
cards,121094522,0.0987129413611
child,119747393,0.0976147986559
enter,119394206,0.0973268902762
share,119294241,0.0972454015431
added,118410414,0.0965249299529
radio,113285624,0.0923473413518
until,113090086,0.0921879441239
color,112965658,0.0920865138225
track,112385243,0.0916133753938
least,111229798,0.0906714882411
trade,110086585,0.0897395722802
david,109067044,0.0889084703502
green,108287905,0.0882733375535
close,107853068,0.0879188703276
drive,107799371,0.0878750980023
short,106755242,0.0870239526074
means,105946662,0.0863648203130
daily,105837757,0.0862760439365
beach,105642682,0.0861170241334
costs,101090970,0.0824065930394
style,101024266,0.0823522177635
front,100886343,0.0822397867073
parts,100637505,0.0820369407775
early,100013194,0.0815280195306
miles,100012522,0.0815274717346
sound,100010833,0.0815260949080
works,98581698,0.0803611031551
rules,97658641,0.0796086523422
final,97649084,0.0796008617373
adult,97583096,0.0795470701250
thing,97451660,0.0794399270937
cheap,97049762,0.0791123108395
third,95489240,0.0778402159987
gifts,95412416,0.0777775911757
cover,94501729,0.0770352240484
often,92551460,0.0754454181162
watch,92006970,0.0750015647646
deals,91189968,0.0743355670863
words,90910143,0.0741074614019
linux,90854231,0.0740618834691
james,90535679,0.0738022085939
heart,90249265,0.0735687317369
error,89396475,0.0728735606601
clear,88447610,0.0721000718717
makes,87829598,0.0715962853972
india,87391857,0.0712394509099
taken,87019836,0.0709361895687
known,86395556,0.0704272935921
cases,86255673,0.0703132647975
quick,85584600,0.0697662244475
whole,85202530,0.0694547714364
later,84857974,0.0691738988118
basic,84840226,0.0691594311277
shows,84804638,0.0691304207638
along,83444756,0.0680218821618
among,83431590,0.0680111495988
death,83216831,0.0678360839375
speed,83135749,0.0677699881094
brand,82807581,0.0675024745340
stuff,81444510,0.0663913363465
japan,81110725,0.0661192439464
doing,80821946,0.0658838392061
loans,80821333,0.0658833395053
shoes,80755612,0.0658297655441
entry,80717798,0.0657989406059
notes,79958318,0.0651798332882
force,79199815,0.0645615223941
river,78843808,0.0642713152276
album,77914316,0.0635136187787
views,77333335,0.0630400189624
plans,77295630,0.0630092828779
build,77203075,0.0629338345741
types,77070740,0.0628259587026
lines,76806341,0.0626104278714
apply,76341478,0.0622314842717
asked,75532722,0.0615722085070
cross,74230978,0.0605110624120
weeks,73571749,0.0599736769668
lower,72606927,0.0591871804685
union,72603888,0.0591847031589
names,71918906,0.0586263245726
leave,70957750,0.0578428164973
teens,70859771,0.0577629466970
woman,70613606,0.0575622797237
cable,70082598,0.0571294165298
score,69315004,0.0565036949012
shown,68755779,0.0560478299808
flash,68391647,0.0557509995366
ideas,67309657,0.0548689908903
allow,67052567,0.0546594181559
homes,66753480,0.0544156106161
super,66703287,0.0543746946557
asian,66078353,0.0538652655562
cause,65904680,0.0537236920780
focus,65626732,0.0534971164727
rooms,65453403,0.0533558234139
voice,64600528,0.0526605830474
comes,64256803,0.0523803878312
brown,64112042,0.0522623826245
forms,63561604,0.0518136806261
glass,63559754,0.0518121725567
happy,63471922,0.0517405743132
smith,63357901,0.0516476275135
thank,63234550,0.0515470751530
prior,62949059,0.0513143507004
sport,62683851,0.0510981603945
ready,62667516,0.0510848445494
round,61836702,0.0504075877065
built,61502894,0.0501354765574
blood,61348302,0.0500094573884
earth,61059905,0.0497743640442
nokia,61035236,0.0497542545503
italy,60280461,0.0491389826198
basis,59901425,0.0488300028425
award,59652161,0.0486268096492
peter,59541743,0.0485367999165
extra,59377307,0.0484027561880
pussy,59206591,0.0482635931754
rated,59102029,0.0481783570937
quite,58777731,0.0479139982364
horse,58453720,0.0476498733337
stars,58352743,0.0475675596459
lists,58249254,0.0474831982444
owner,58189056,0.0474341264817
takes,57784233,0.0471041258475
bring,57608074,0.0469605258501
input,57191675,0.0466210887774
agent,57103658,0.0465493397270
valid,57094711,0.0465420463774
grand,56599468,0.0461383378330
trial,56547673,0.0460961159660
units,56512308,0.0460672873855
wrote,56421594,0.0459933398145
ships,56365355,0.0459474953204
metal,56181783,0.0457978524482
funds,55721876,0.0454229488442
guest,55293215,0.0450735161246
seems,55276661,0.0450600217567
trust,55157142,0.0449625931377
multi,55131463,0.0449416603195
grade,54275130,0.0442436010859
panel,53784382,0.0438435567425
floor,53759851,0.0438235597424
match,53532481,0.0436382139389
plant,53247607,0.0434059924479
sense,52629633,0.0429022369500
stage,52518330,0.0428115057895
goods,52507183,0.0428024190600
maybe,51895609,0.0423038806670
spain,51553238,0.0420247891946
youth,51426255,0.0419212761271
break,51242970,0.0417718672095
dance,51147967,0.0416944233630
apple,50551171,0.0412079315913
enjoy,50141455,0.0408739423174
block,49694725,0.0405097802433
civil,49495349,0.0403472543827
steel,49452604,0.0403124098281
songs,49272598,0.0401656738617
fixed,49215402,0.0401190492473
wrong,49156828,0.0400713013250
hands,49087727,0.0400149720803
paris,48831449,0.0398060612661
fully,48616832,0.0396311113593
worth,48075237,0.0391896179325
peace,47856201,0.0390110657779
coast,47716394,0.0388970989364
grant,47609624,0.0388100629535
agree,47500911,0.0387214430901
blogs,46978262,0.0382953939242
scale,46307526,0.0377486282874
stand,46292709,0.0377365498744
frame,46079991,0.0375631479804
chief,45699591,0.0372530563076
gives,45649146,0.0372119349237
heard,45436523,0.0370386104712
begin,45434902,0.0370372890763
royal,45407189,0.0370146981969
clean,45381752,0.0369939626504
bible,45080741,0.0367485867185
suite,44829675,0.0365439245841
vegas,44810653,0.0365284183701
chris,44754518,0.0364826586539
piece,44298807,0.0361111755143
sheet,44295187,0.0361082245893
seven,44224906,0.0360509334409
older,44222089,0.0360486370996
cells,44128080,0.0359720035347
looks,43897035,0.0357836619718
calls,43661633,0.0355917687016
whose,43634263,0.0355694574265
naked,43110969,0.0351428824742
lives,42750046,0.0348486679190
stone,42494931,0.0346407051506
tests,42336117,0.0345112443227
buyer,42024703,0.0342573881497
steve,41997245,0.0342350051393
label,41359857,0.0337154238798
scott,41326573,0.0336882916736
canon,41144763,0.0335400851356
waste,41089558,0.0334950835299
chair,40764005,0.0332297016310
phase,40722940,0.0331962265665
motor,40615655,0.0331087707697
shirt,40501964,0.0330160929769
crime,40361756,0.0329017992512
count,40345803,0.0328887948020
claim,40085342,0.0326764741207
patch,39999745,0.0326066977881
santa,39664896,0.0323337380443
alone,39326417,0.0320578192238
jones,39297134,0.0320339485233
saint,38929141,0.0317339706975
drugs,38827156,0.0316508353156
joint,38827057,0.0316507546135
fresh,38781893,0.0316139381564
dates,38442243,0.0313370647687
upper,38341510,0.0312549499830
prime,38308402,0.0312279612472
limit,38290292,0.0312131984707
began,38269468,0.0311962233156
louis,38259201,0.0311878539381
steps,38254292,0.0311838522556
shops,38241315,0.0311732737602
creek,38159464,0.0311065510643
urban,38087999,0.0310482947515
tours,37957036,0.0309415372969
labor,37866418,0.0308676679825
admin,37835381,0.0308423674692
heavy,37668153,0.0307060477787
solid,37426444,0.0305090132147
theme,37219937,0.0303406743581
porno,36925475,0.0301006369917
touch,36831035,0.0300236520875
goals,36766773,0.0299712674632
serve,36697856,0.0299150882102
magic,36676771,0.0298979002951
mount,36648260,0.0298746589079
smart,36636558,0.0298651197577
latin,36548259,0.0297931408286
avoid,36508203,0.0297604882733
birth,36286070,0.0295794115289
virus,36286003,0.0295793569124
abuse,36269685,0.0295660549252
facts,36041603,0.0293801287188
faith,35936559,0.0292944997238
chain,35928367,0.0292878218296
moved,35713495,0.0291126640538
reach,35687918,0.0290918143831
sorry,35595812,0.0290167320918
gamma,35426622,0.0288788130326
truth,35345925,0.0288130310459
films,35200065,0.0286941299645
owned,35050234,0.0285719918324
draft,35033621,0.0285584493693
chart,35027490,0.0285534515459
jesus,34929061,0.0284732149180
clubs,34881779,0.0284346719251
equal,34832354,0.0283943820173
codes,34503537,0.0281263393949
kinds,34482138,0.0281088955155
teams,34383288,0.0280283156999
funny,34281806,0.0279455903499
tried,34201786,0.0278803602352
named,34099544,0.0277970153540
laser,34080740,0.0277816868476
harry,33867934,0.0276082132185
taxes,33674672,0.0274506713234
mouse,33667003,0.0274444197645
brain,33612784,0.0274002219190
dream,33518573,0.0273234236893
FALSE,33476460,0.0272890943238
falls,33213513,0.0270747471233
stats,33096627,0.0269794648539
carry,33056477,0.0269467356724
hello,32960381,0.0268684008422
clips,32846497,0.0267755657211
brief,32599674,0.0265743623643
ended,32588866,0.0265655519783
eight,32567724,0.0265483175984
wants,32538214,0.0265242618537
alert,32472727,0.0264708786429
queen,32366847,0.0263845681637
sweet,32311923,0.0263397956215
diego,32238555,0.0262799880352
truck,32136249,0.0261965909829
votes,32059663,0.0261341601710
ocean,31928741,0.0260274361384
signs,31899467,0.0260035727745
depth,31879926,0.0259876434859
train,31816971,0.0259363242923
feeds,31593736,0.0257543492277
route,31439231,0.0256284009787
frank,31392284,0.0255901310687
anime,31334688,0.0255431803853
speak,31324712,0.0255350482230
query,31284313,0.0255021160635
rural,30998929,0.0252694788344
judge,30905832,0.0251935887070
bytes,30848384,0.0251467586691
fight,30784313,0.0250945297427
filed,30718907,0.0250412125610
korea,30582894,0.0249303384845
banks,30582183,0.0249297588967
kelly,30510238,0.0248711113010
leads,30507300,0.0248687163238
brian,30060564,0.0245045493587
miami,29904805,0.0243775788832
wales,29821525,0.0243096913056
minor,29782623,0.0242779794596
noted,29754565,0.0242551073456
spent,29719451,0.0242264833734
davis,29689352,0.0242019474921
helps,29607993,0.0241356258612
cycle,29585286,0.0241171157360
sleep,29491537,0.0240406941160
scene,29372413,0.0239435874903
drink,29254937,0.0238478242691
intel,28995654,0.0236364638611
rings,28827859,0.0234996819677
henry,28769085,0.0234517710109
guess,28743465,0.0234308862878
ahead,28375319,0.0231307837406
devel,28152649,0.0229492692485
delta,28051872,0.0228671185952
cisco,27894293,0.0227386645056
alpha,27832836,0.0226885664405
bonus,27819488,0.0226776855161
adobe,27538755,0.0224488396550
trees,27378116,0.0223178911370
dress,27318959,0.0222696679691
refer,27099706,0.0220909389219
babes,27016030,0.0220227285360
layer,26912270,0.0219381462227
spend,26713310,0.0217759594740
clock,26624872,0.0217038672359
ratio,26457942,0.0215677904669
proof,26305059,0.0214431644279
empty,26206017,0.0213624280992
maine,26049821,0.0212351013933
ideal,26036289,0.0212240704771
specs,26029159,0.0212182582962
parks,25974927,0.0211740498535
cream,25898758,0.0211119589686
boxes,25787744,0.0210214633929
hills,25770218,0.0210071766772
aware,25700328,0.0209502042613
shape,25675227,0.0209297426128
irish,25658075,0.0209157607717
firms,25497302,0.0207847030206
usage,25440406,0.0207383229580
mixed,25395056,0.0207013548787
exist,25349128,0.0206639156296
wheel,25342937,0.0206588688958
angel,25294123,0.0206190770585
width,25182453,0.0205280467296
noise,25171520,0.0205191344471
array,25150016,0.0205016049747
greek,25059132,0.0204275188243
sharp,24904199,0.0203012216815
occur,24679212,0.0201178184344
knows,24640096,0.0200859321413
coach,24514961,0.0199839255129
kevin,24511652,0.0199812281066
plate,24275560,0.0197887723673
logic,23989892,0.0195559036292
sizes,23751367,0.0193614645749
plain,23747230,0.0193580922057
costa,23702154,0.0193213474837
trail,23648838,0.0192778857392
buddy,23611087,0.0192471121568
setup,23534848,0.0191849642098
blues,23387172,0.0190645827748
scope,23349420,0.0190338083772
crazy,23032837,0.0187757385769
bears,22926868,0.0186893555472
mouth,22880351,0.0186514361615
meter,22874915,0.0186470048830
fruit,22767191,0.0185591912254
mysql,22703527,0.0185072940743
lewis,22640158,0.0184556373992
sugar,22450333,0.0183008972525
stick,22399126,0.0182591547071
allen,22368068,0.0182338370752
genre,22344091,0.0182142916808
slide,22339084,0.0182102101114
exact,22304937,0.0181823744112
bound,22303643,0.0181813195778
storm,22242164,0.0181312035789
micro,22219932,0.0181130806608
dolls,22065047,0.0179868226462
paint,21926890,0.0178742008396
delay,21911190,0.0178614026291
pilot,21909830,0.0178602939943
czech,21849930,0.0178114651531
novel,21821189,0.0177880362762
ultra,21795075,0.0177667488579
idaho,21791957,0.0177642071496
plays,21753930,0.0177332085795
truly,21693553,0.0176839909010
lodge,21541130,0.0175597398414
boobs,21461250,0.0174946238508
broad,21370126,0.0174203420591
swiss,21324437,0.0173830976362
sarah,21321998,0.0173811094302
clark,21305891,0.0173679794444
foods,21150689,0.0172414630201
guard,21137924,0.0172310573414
newly,21102330,0.0172020420864
raise,21099943,0.0172000962693
drama,20939845,0.0170695887597
bands,20842378,0.0169901363279
lunch,20807419,0.0169616387075
dildo,20789655,0.0169471579807
audit,20786243,0.0169443766117
polls,20694349,0.0168694671370
tower,20686918,0.0168634095891
yours,20672809,0.0168519083183
jason,20616747,0.0168062081096
shell,20599318,0.0167920004657
solar,20423792,0.0166489164726
catch,20400979,0.0166303199391
doubt,20311261,0.0165571842801
tasks,20273373,0.0165262990191
const,20236664,0.0164963748466
doors,20229491,0.0164905276132
forth,20149609,0.0164254099923
bruce,19999866,0.0163033435954
split,19998411,0.0163021575192
twice,19945569,0.0162590821665
egypt,19926686,0.0162436892615
shift,19811555,0.0161498376201
simon,19757457,0.0161057384106
marks,19747824,0.0160978858525
loved,19719299,0.0160746330529
birds,19693729,0.0160537890885
saved,19635976,0.0160067104229
shots,19611119,0.0159864476766
moore,19585613,0.0159656558832
treat,19442315,0.0158488432740
piano,19419956,0.0158306168289
risks,19205769,0.0156560174464
ports,19171802,0.0156283284773
teach,19079783,0.0155533171060
rapid,19070672,0.0155458900680
hairy,19060619,0.0155376951375
dutch,19000979,0.0154890782411
boots,18968708,0.0154627718048
holds,18963546,0.0154585638837
pulse,18893735,0.0154016558664
metro,18738665,0.0152752470449
strip,18711440,0.0152530539697
pearl,18707334,0.0152497068708
penis,18478169,0.0150628978325
heads,18400524,0.0149996037527
logos,18366230,0.0149716482222
milfs,18358745,0.0149655466549
honda,18261029,0.0148858912451
bills,18248816,0.0148759355416
opera,18225169,0.0148566591542
asset,18178753,0.0148188221009
blank,18150537,0.0147958211896
humor,18085495,0.0147428007307
lived,18050710,0.0147144449503
tight,17981854,0.0146583154229
meant,17832930,0.0145369166525
plane,17799728,0.0145098512905
meets,17760399,0.0144777913656
tampa,17654589,0.0143915379484
grace,17642126,0.0143813784518
susan,17638870,0.0143787242497
adams,17620255,0.0143635498110
villa,17587586,0.0143369189360
inner,17552078,0.0143079737858
roman,17431193,0.0142094316410
taste,17311343,0.0141117332000
trips,17273017,0.0140804908933
sides,17269191,0.0140773720428
turns,17261850,0.0140713878604
cache,17250923,0.0140624804690
lease,17180592,0.0140051485619
proud,17167504,0.0139944795824
giant,17098874,0.0139385342840
seats,17070818,0.0139156638004
alarm,17059844,0.0139067180958
usual,17044981,0.0138946021849
angle,17016075,0.0138710388045
vinyl,17009819,0.0138659390844
worst,16975343,0.0138378351924
honor,16787246,0.0136845036641
eagle,16785232,0.0136828619064
pants,16774383,0.0136740180984
nurse,16772151,0.0136721986331
quiet,16746894,0.0136516098177
comic,16695850,0.0136100001454
crown,16651038,0.0135734706290
maker,16635947,0.0135611688586
crack,16633701,0.0135593379809
picks,16627992,0.0135546841603
smoke,16567733,0.0135055626721
craft,16528294,0.0134734130783
apart,16507181,0.0134562023383
blind,16485480,0.0134385122768
coins,16449733,0.0134093723004
gross,16440590,0.0134019191769
epson,16344475,0.0133235688585
actor,16282891,0.0132733672665
finds,16280898,0.0132717426275
fifth,16255266,0.0132508481223
prize,16204739,0.0132096598943
dirty,16101662,0.0131256343439
wayne,16090093,0.0131162036116
alive,16064787,0.0130955748528
prove,16046788,0.0130809025604
wings,16044458,0.0130790032081
ridge,15993437,0.0130374122848
modem,15984492,0.0130301205655
larry,15900632,0.0129617601878
skill,15835076,0.0129083207301
moves,15789001,0.0128707616507
throw,15751985,0.0128405872202
trend,15747018,0.0128365382577
rhode,15717565,0.0128125289779
busty,15705827,0.0128029604814
worse,15677739,0.0127800639122
boats,15600762,0.0127173143678
tells,15534490,0.0126632912465
fiber,15530318,0.0126598903463
graph,15526746,0.0126569785496
talks,15484166,0.0126222684985
bonds,15431252,0.0125791344534
fraud,15378751,0.0125363370745
roger,15353411,0.0125156805998
crash,15302627,0.0124742828724
inter,15269346,0.0124471531117
grove,15189493,0.0123820591308
spray,15148133,0.0123483435903
roads,15093621,0.0123039068993
faces,15050854,0.0122690444109
cocks,15043799,0.0122632933679
mayor,15030847,0.0122527352519
yield,15022494,0.0122459261148
hence,14992334,0.0122213405079
radar,14982375,0.0122132222036
lakes,14947463,0.0121847628964
diary,14922472,0.0121643909169
kings,14914273,0.0121577073164
flags,14870655,0.0121221511161
baker,14862470,0.0121154789280
shock,14850388,0.0121056300122
walls,14837851,0.0120954101928
ebony,14831025,0.0120898458243
drawn,14827380,0.0120868745200
beast,14787561,0.0120544151606
dodge,14768509,0.0120388844915
pizza,14763787,0.0120350352463
yards,14733347,0.0120102213911
woods,14647735,0.0119404328309
jokes,14622894,0.0119201831273
twiki,14601448,0.0119027009348
globe,14554904,0.0118647595394
dicke,14514973,0.0118322088807
kerry,14514771,0.0118320442158
ghost,14490042,0.0118118858115
pride,14428078,0.0117613744540
keith,14391094,0.0117312261090
linda,14380554,0.0117226341894
chile,14372798,0.0117163117104
maria,14347893,0.0116960098357
brass,14298573,0.0116558055211
plaza,14274314,0.0116360302479
quest,14258533,0.0116231660085
trans,14243681,0.0116110590644
booty,14218854,0.0115908207733
acres,14208905,0.0115827106206
venue,14204074,0.0115787725216
vital,14166642,0.0115482589793
excel,14133468,0.0115212164421
modes,14131325,0.0115194695271
enemy,14084182,0.0114810398433
wells,14073676,0.0114724756395
opens,14070477,0.0114698679022
lucky,14053901,0.0114563556005
thick,14030556,0.0114373253952
iraqi,13999381,0.0114119123881
vista,13991160,0.0114052108538
chips,13982676,0.0113982949291
terry,13981773,0.0113975588283
flood,13979267,0.0113955160056
arena,13966572,0.0113851673889
grown,13931521,0.0113565947727
jerry,13908229,0.0113376077715
smile,13893537,0.0113256312551
lands,13891179,0.0113237090780
armed,13866785,0.0113038237566
laura,13801282,0.0112504275030
tokyo,13793165,0.0112438107467
nikon,13789510,0.0112408312907
candy,13772033,0.0112265845184
pills,13767091,0.0112225559352
tiger,13763074,0.0112192813867
folks,13760930,0.0112175336566
balls,13683840,0.0111546919977
boost,13675076,0.0111475478246
icons,13649671,0.0111268383637
moral,13643598,0.0111218878202
keeps,13624468,0.0111062935676
pound,13620117,0.0111027467514
roses,13584758,0.0110739230620
bread,13575360,0.0110662620695
tough,13560922,0.0110544926069
gonna,13542156,0.0110391950771
chest,13516414,0.0110182109030
billy,13515249,0.0110172612269
craig,13480763,0.0109891491832
solve,13452150,0.0109658246484
nancy,13381057,0.0109078715798
tones,13373535,0.0109017398512
sight,13360499,0.0108911132606
towns,13337599,0.0108724458071
worry,13243591,0.0107958130575
reads,13174104,0.0107391691561
roles,13171507,0.0107370521528
glory,13158826,0.0107267149485
saudi,13123149,0.0106976320342
fault,13112664,0.0106890849490
karen,13067717,0.0106524453843
jimmy,13030009,0.0106217068544
rugby,12992179,0.0105908688733
fluid,12943336,0.0105510533960
barry,12921548,0.0105332924145
devil,12869511,0.0104908732758
grass,12868953,0.0104904184094
marie,12862466,0.0104851303845
kenya,12839981,0.0104668012276
sized,12775596,0.0104143163371
manga,12774174,0.0104131571616
theft,12744763,0.0103891821191
swing,12734467,0.0103807891016
dated,12707511,0.0103588153078
shoot,12695618,0.0103491204596
elite,12673836,0.0103313643691
poems,12662561,0.0103221732976
robot,12656312,0.0103170792838
winds,12628386,0.0102943147726
gnome,12609820,0.0102791802773
roots,12609370,0.0102788134496
noble,12604679,0.0102749894748
shore,12568485,0.0102454851162
loves,12566621,0.0102439656344
loose,12556710,0.0102358864583
slots,12452126,0.0101506324428
rocks,12427428,0.0101304993089
genes,12396954,0.0101056577378
horny,12363955,0.0100787578558
hosts,12228736,0.0099685310264
atlas,12221120,0.0099623226716
feels,12212683,0.0099554450600
ralph,12190683,0.0099375112619
corps,12150135,0.0099044576417
liver,12139363,0.0098956766020
decor,12098868,0.0098626661858
texts,12095723,0.0098601024679
evans,12020970,0.0097991658674
fails,12015364,0.0097945960096
aging,12014007,0.0097934898203
alice,11994061,0.0097772303868
intro,11938092,0.0097316059892
clerk,11923960,0.0097200859695
mills,11910667,0.0097092498796
jeans,11896655,0.0096978276805
fonts,11884559,0.0096879673522
favor,11867822,0.0096743238077
sigma,11864409,0.0096715416235
xhtml,11856704,0.0096652607183
aside,11768649,0.0095934806914
essay,11750312,0.0095785328706
camps,11712039,0.0095473337681
aaron,11698784,0.0095365286548
trace,11697252,0.0095352798103
packs,11683277,0.0095238877726
spoke,11577917,0.0094380011831
arrow,11563142,0.0094259570073
rough,11557184,0.0094211002087
weird,11556427,0.0094204831231
holes,11529280,0.0093983536314
blade,11527988,0.0093973004283
meals,11515834,0.0093873928200
robin,11423944,0.0093124866060
strap,11414669,0.0093049258798
crowd,11409218,0.0093004823737
cloud,11337220,0.0092417915738
valve,11325360,0.0092321236263
knife,11297715,0.0092095881786
shelf,11287023,0.0092008723528
liked,11282738,0.0091973793380
adopt,11272339,0.0091889023577
fotos,11264350,0.0091823899435
outer,11245167,0.0091667524867
tales,11222332,0.0091481380194
islam,11214742,0.0091419508591
nodes,11208722,0.0091370435198
seeds,11196921,0.0091274236674
cited,11195944,0.0091266272438
skype,11188286,0.0091203846517
tired,11158233,0.0090958862683
steam,11141309,0.0090820902865
acute,11128841,0.0090719267140
stood,11116275,0.0090616832546
carol,11109404,0.0090560822034
stack,11090579,0.0090407365784
curve,11071177,0.0090249205988
amber,11065507,0.0090202985699
trunk,11020361,0.0089834967859
waves,11006010,0.0089717982433
camel,11005001,0.0089709757341
lamps,11000656,0.0089674338090
juice,10973425,0.0089452358428
chase,10971945,0.0089440293872
sauce,10968629,0.0089413262748
beads,10825324,0.0088245079594
flows,10797166,0.0088015543282
fewer,10792786,0.0087979838720
proxy,10773043,0.0087818899185
lanka,10765788,0.0087759758410
voted,10746027,0.0087598672144
bikes,10740880,0.0087556715209
gates,10734618,0.0087505669098
slave,10692715,0.0087164087306
lycos,10665969,0.0086946061231
zdnet,10661625,0.0086910650132
combo,10592758,0.0086349265189
haven,10569212,0.0086157324638
charm,10554644,0.0086038570288
basin,10544774,0.0085958112748
ranch,10539650,0.0085916343302
drunk,10519219,0.0085749795380
toner,10508427,0.0085661821948
latex,10502825,0.0085616155977
delhi,10491603,0.0085524677303
alien,10490554,0.0085516126142
broke,10460811,0.0085273669343
nepal,10459583,0.0085263659023
nylon,10410171,0.0084860865918
discs,10404995,0.0084818672582
rocky,10404321,0.0084813178318
fleet,10364423,0.0084487940738
bunch,10355431,0.0084414640414
cents,10301064,0.0083971455504
omega,10289113,0.0083874034222
civic,10283668,0.0083829648071
saver,10258158,0.0083621697530
grill,10254124,0.0083588813466
grain,10244623,0.0083511363913
wanna,10232302,0.0083410926492
seeks,10174194,0.0082937245974
gains,10137566,0.0082638664539
spots,10109662,0.0082411198765
salon,10079006,0.0082161299440
turbo,10058686,0.0081995656359
thats,10034213,0.0081796159159
aimed,10030370,0.0081764832074
reset,10021033,0.0081688719404
brush,10018684,0.0081669570999
spare,10009522,0.0081594884882
kodak,10005470,0.0081561854086
skirt,9981485,0.0081366334928
honey,9978043,0.0081338276686
gauge,9952466,0.0081129779979
faced,9938155,0.0081013120623
sixth,9920054,0.0080865566223
farms,9908537,0.0080771682790
cheat,9903572,0.0080731209468
sandy,9897487,0.0080681606213
macro,9885853,0.0080586769028
laugh,9822471,0.0080070096304
pitch,9800556,0.0079891451220
autos,9798008,0.0079870680621
perry,9785838,0.0079771474110
dozen,9776227,0.0079693127868
teeth,9769437,0.0079637777645
cloth,9764137,0.0079594573496
stamp,9760468,0.0079564664811
lotus,9759485,0.0079556651664
cargo,9748668,0.0079468474440
salem,9735569,0.0079361694975
likes,9727733,0.0079297818047
tapes,9719559,0.0079231185835
zones,9719114,0.0079227558317
races,9715279,0.0079196296446
maple,9704551,0.0079108844725
depot,9688338,0.0078976680785
blend,9680982,0.0078916716686
julie,9674906,0.0078867186796
janet,9666108,0.0078795467907
phpbb,9649545,0.0078660450862
probe,9643801,0.0078613627346
